normalized_title	count	classification	recording_ids	titles	song_ids	group_ids	performer_ids	source_ids
el agualulco	3	likely_legitimate_same_title_different_artist	REC001339|REC001340|REC001341	El Agualulco|El Agualulco|El Agualulco	SONG001021|SONG001021|SONG001021	GRP0043|GRP0033|GRP0033	||	SRC0001|SRC0001|SRC0001
el aguijon	3	possible_true_duplicate_same_entity	REC001343|REC001344|REC001345	El Aguijon|El Aguijon|El Aguijon	SONG001023|SONG001023|SONG001023	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
el andariego	3	likely_legitimate_same_title_different_artist	REC001358|REC001359|REC001360	El Andariego|El Andariego|El Andariego	SONG001034|SONG001034|SONG001034	||GRP0094	PER000036|PER000107|	SRC0001|SRC0001|SRC0001
el ausente	3	likely_legitimate_same_title_different_artist	REC001372|REC001373|REC005699	El Ausente|El Ausente|El Ausente	SONG001044|SONG001044|SONG001044	|GRP0014|	PER000149||	SRC0001|SRC0001|SRC0002
el butaquito	3	likely_legitimate_same_title_different_artist	REC001410|REC001411|REC001412	El Butaquito|El Butaquito|El Butaquito	SONG001076|SONG001076|SONG001076	|GRP0035|GRP0029	PER000102||	SRC0001|SRC0001|SRC0001
el cable	3	likely_legitimate_same_title_different_artist	REC001427|REC001428|REC001429	El Cable|El Cable|El Cable	SONG001083|SONG001083|SONG001083	||GRP0161	PER000197|PER000075|	SRC0001|SRC0001|SRC0001
el caporal de chihuahua	3	possible_true_duplicate_same_entity	REC001446|REC001447|REC001448	El Caporal De Chihuahua|El Caporal De Chihuahua|El Caporal De Chihuahua	SONG001095|SONG001095|SONG001095	||	PER000127|PER000127|PER000127	SRC0001|SRC0001|SRC0001
el capulinero	3	likely_legitimate_same_title_different_artist	REC001450|REC001451|REC001452	El Capulinero|El Capulinero|El Capulinero	SONG001097|SONG001097|SONG001097	GRP0168|GRP0168|GRP0086	||	SRC0001|SRC0001|SRC0001
el carretero	3	likely_legitimate_same_title_different_artist	REC001454|REC001455|REC005620	El Carretero|El Carretero|El Carretero	SONG001099|SONG001099|SONG001099	GRP0168|GRP0086|	||	SRC0001|SRC0001|SRC0002
el cascabel	3	likely_legitimate_same_title_different_artist	REC001460|REC001461|REC001462	El Cascabel|El Cascabel|El Cascabel	SONG001103|SONG001103|SONG001103	|GRP0043|GRP0033	PER000102||	SRC0001|SRC0001|SRC0001
el cuerudo	3	likely_legitimate_same_title_different_artist	REC001533|REC001534|REC001535	El Cuerudo|El Cuerudo|El Cuerudo	SONG001160|SONG001160|SONG001160	GRP0115|GRP0137|GRP0136	||	SRC0001|SRC0001|SRC0001
el cupido	3	likely_legitimate_same_title_different_artist	REC001542|REC001543|REC001544	El Cupido|El Cupido|El Cupido	SONG001162|SONG001162|SONG001162	||GRP0033	PER000102|PER000110|	SRC0001|SRC0001|SRC0001
el dia de san juan	3	likely_legitimate_same_title_different_artist	REC001552|REC001553|REC001554	El Dia De San Juan|El Dia De San Juan|El Dia De San Juan	SONG001170|SONG001170|SONG001170	||	|PER000052|PER000107	SRC0001|SRC0001|SRC0001
el embrujado	3	likely_legitimate_same_title_different_artist	REC001572|REC001573|REC001574	El Embrujado|El Embrujado|El Embrujado	SONG001186|SONG001186|SONG001186	GRP0081||GRP0081	|PER000235|	SRC0001|SRC0001|SRC0001
el fronterizo	3	possible_true_duplicate_same_entity	REC001586|REC001587|REC001588	El Fronterizo|El Fronterizo|El Fronterizo	SONG001197|SONG001197|SONG001197	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
el herradero	3	likely_legitimate_same_title_different_artist	REC001628|REC001629|REC001630	El Herradero|El Herradero|El Herradero	SONG001228|SONG001228|SONG001228	||	PER000206|PER000149|PER000149	SRC0001|SRC0001|SRC0001
el hijo desobediente	3	likely_legitimate_same_title_different_artist	REC001637|REC001638|REC001639	El Hijo Desobediente|El Hijo Desobediente|El Hijo Desobediente	SONG001234|SONG001234|SONG001234	||	|PER000107|PER000107	SRC0001|SRC0001|SRC0001
el huerfanito	3	likely_legitimate_same_title_different_artist	REC001646|REC001647|REC001648	El Huerfanito|El Huerfanito|El Huerfanito	SONG001241|SONG001241|SONG001241	||GRP0172	PER000113|PER000100|	SRC0001|SRC0001|SRC0001
el indulto	3	likely_legitimate_same_title_different_artist	REC001651|REC001652|REC001653	El Indulto|El Indulto|El Indulto	SONG001244|SONG001244|SONG001244	||	PER000052|PER000047|PER000052	SRC0001|SRC0001|SRC0001
el jardinero	3	likely_legitimate_same_title_different_artist	REC001662|REC005998|REC006195	El Jardinero|10. El Jardinero|El Jardinero	SONG001251||SONG004771	|GRP0278|GRP0278	PER000225||	SRC0001|SRC0002|SRC0002
el jarocho	3	likely_legitimate_same_title_different_artist	REC001664|REC001665|REC001666	El Jarocho|El Jarocho|El Jarocho	SONG001253|SONG001253|SONG001253	||	PER000102|PER000102|PER000110	SRC0001|SRC0001|SRC0001
el jinete	3	likely_legitimate_same_title_different_artist	REC001670|REC001671|REC001672	El Jinete|El Jinete|El Jinete	SONG001256|SONG001256|SONG001256	||	PER000117|PER000117|PER000052	SRC0001|SRC0001|SRC0001
el llorar	3	likely_legitimate_same_title_different_artist	REC001687|REC001688|REC001689	El Llorar|El Llorar|El Llorar	SONG001269|SONG001269|SONG001269	GRP0137|GRP0192|GRP0172	||	SRC0001|SRC0001|SRC0001
el mariachi	3	likely_legitimate_same_title_different_artist	REC001698|REC001699|REC001700	El Mariachi|El Mariachi|El Mariachi	SONG001278|SONG001278|SONG001278	|GRP0155|	PER000149||PER000149	SRC0001|SRC0001|SRC0001
el moro de cumpas	3	likely_legitimate_same_title_different_artist	REC001715|REC001716|REC001717	El Moro De Cumpas|El Moro De Cumpas|El Moro De Cumpas	SONG001290|SONG001290|SONG001290	GRP0081|GRP0081|GRP0014	||	SRC0001|SRC0001|SRC0001
el mundo	3	possible_true_duplicate_same_entity	REC001726|REC001727|REC001728	El Mundo|El Mundo|El Mundo	SONG001298|SONG001298|SONG001298	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
el mundo es mio	3	same_entity_different_song_links	REC001730|REC001731|REC001732	El Mundo Es Mio|El Mundo Es Mio|El Mundo Es Mio?	SONG001300|SONG001300|SONG001301	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
el plebeyo	3	possible_true_duplicate_same_entity	REC001787|REC001788|REC001789	El Plebeyo|El Plebeyo|El Plebeyo	SONG001345|SONG001345|SONG001345	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
el profugo	3	possible_true_duplicate_same_entity	REC001797|REC001798|REC001799	El Profugo|El Profugo|El Profugo	SONG001352|SONG001352|SONG001352	||	PER000052|PER000052|PER000052	SRC0001|SRC0001|SRC0001
el quiubole	3	likely_legitimate_same_title_different_artist	REC001806|REC001807|REC001808	El Quiubole|El Quiubole|El Quiubole	SONG001357|SONG001357|SONG001357	||	PER000139|PER000031|PER000139	SRC0001|SRC0001|SRC0001
el ranchero	3	likely_legitimate_same_title_different_artist	REC001813|REC001814|REC001815	El Ranchero|El Ranchero|El Ranchero	SONG001359|SONG001359|SONG001359	|GRP0169|	PER000225||PER000225	SRC0001|SRC0001|SRC0001
el rebelde	3	likely_legitimate_same_title_different_artist	REC001823|REC001824|REC001825	El Rebelde|El Rebelde|El Rebelde	SONG001365|SONG001365|SONG001365	GRP0041||	|PER000225|PER000052	SRC0001|SRC0001|SRC0001
el rey del falsete	3	possible_true_duplicate_same_entity	REC001837|REC001838|REC001839	El Rey Del Falsete|El Rey Del Falsete|El Rey Del Falsete	SONG001376|SONG001376|SONG001376	||	PER000052|PER000052|PER000052	SRC0001|SRC0001|SRC0001
el siquisiri	3	possible_true_duplicate_same_entity	REC001860|REC001861|REC001862	El Siquisiri|El Siquisiri|El Siquisiri	SONG001390|SONG001390|SONG001390	GRP0033|GRP0033|GRP0033	||	SRC0001|SRC0001|SRC0001
el solterito	3	likely_legitimate_same_title_different_artist	REC001868|REC001869|REC001870	El Solterito|El Solterito|El Solterito	SONG001395|SONG001395|SONG001395	GRP0057|GRP0067|GRP0067	||	SRC0001|SRC0001|SRC0001
el venadito	3	likely_legitimate_same_title_different_artist	REC001933|REC001934|REC001935	El Venadito|El Venadito|El Venadito	SONG001447|SONG001447|SONG001447	||	PER000107|PER000107|PER000160	SRC0001|SRC0001|SRC0001
el zapateado	3	likely_legitimate_same_title_different_artist	REC001944|REC001945|REC001946	El Zapateado|El Zapateado|El Zapateado	SONG001455|SONG001455|SONG001455	GRP0030|GRP0033|GRP0029	||	SRC0001|SRC0001|SRC0001
el zopilote mojado	3	likely_legitimate_same_title_different_artist	REC001948|REC001949|REC001950	El Zopilote Mojado|El Zopilote Mojado|El Zopilote Mojado	SONG001457|SONG001457|SONG001457	GRP0156|GRP0167|GRP0027	||	SRC0001|SRC0001|SRC0001
en mala hora	3	possible_true_duplicate_same_entity	REC001978|REC001979|REC001980	En Mala Hora|En Mala Hora|En Mala Hora	SONG001480|SONG001480|SONG001480	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
esta tristeza mia	3	likely_legitimate_same_title_different_artist	REC002088|REC002089|REC002090	Esta Tristeza Mia|Esta Tristeza Mia|Esta Tristeza Mia	SONG001566|SONG001566|SONG001566	||	PER000107|PER000149|PER000149	SRC0001|SRC0001|SRC0001
falsa	3	likely_legitimate_same_title_different_artist	REC002111|REC002112|REC002113	Falsa|Falsa|Falsa	SONG001585|SONG001585|SONG001585	GRP0069||	|PER000107|PER000089	SRC0001|SRC0001|SRC0001
golondrina de ojos negros	3	likely_legitimate_same_title_different_artist	REC002184|REC002185|REC002186	Golondrina De Ojos Negros|Golondrina De Ojos Negros|Golondrina De Ojos Negros	SONG001640|SONG001640|SONG001640	||	PER000249|PER000225|PER000225	SRC0001|SRC0001|SRC0001
gritenme piedras del campo	3	possible_true_duplicate_same_entity	REC002213|REC002214|REC002215	Gritenme Piedras Del Campo|Gritenme Piedras Del Campo|Gritenme Piedras Del Campo	SONG001657|SONG001657|SONG001657	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
hermosas fuentes	3	possible_true_duplicate_same_entity	REC002267|REC002268|REC002269	Hermosas Fuentes|Hermosas Fuentes|Hermosas Fuentes	SONG001699|SONG001699|SONG001699	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
hoja seca	3	likely_legitimate_same_title_different_artist	REC002290|REC002291|REC002292	Hoja Seca|Hoja Seca|Hoja Seca	SONG001717|SONG001717|SONG001717	||GRP0190	PER000249||	SRC0001|SRC0001|SRC0001
hoy podemos terminar	3	possible_true_duplicate_same_entity	REC002306|REC002307|REC002308	Hoy Podemos Terminar|Hoy Podemos Terminar|Hoy Podemos Terminar	SONG001729|SONG001729|SONG001729	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
jacaranda	3	likely_legitimate_same_title_different_artist	REC002364|REC002365|REC002366	Jacaranda|Jacaranda|Jacaranda	SONG001769|SONG001769|SONG001769	|GRP0094|GRP0086	PER000127||	SRC0001|SRC0001|SRC0001
jamas	3	likely_legitimate_same_title_different_artist	REC002371|REC002372|REC002373	Jamás|Jamás|Jamás	SONG001774|SONG001774|SONG001774	||GRP0126	PER000061|PER000205|	SRC0001|SRC0001|SRC0001
jarabe loco	3	likely_legitimate_same_title_different_artist	REC002375|REC002376|REC002377	Jarabe Loco|Jarabe Loco|Jarabe Loco	SONG001776|SONG001776|SONG001776	GRP0030|GRP0033|GRP0029	||	SRC0001|SRC0001|SRC0001
jarabe tapatio	3	likely_legitimate_same_title_different_artist	REC002380|REC002381|REC002382	Jarabe Tapatio|Jarabe Tapatio|Jarabe Tapatio	SONG001779|SONG001779|SONG001779	GRP0031||GRP0167	||	SRC0001|SRC0001|SRC0001
la adelita	3	possible_true_duplicate_same_entity	REC002421|REC002422|REC002423	La Adelita|La Adelita|La Adelita	SONG001814|SONG001814|SONG001814	||	PER000107|PER000107|PER000107	SRC0001|SRC0001|SRC0001
la barca de guaymas	3	likely_legitimate_same_title_different_artist	REC002445|REC002446|REC002447	La Barca De Guaymas|La Barca De Guaymas|La Barca De Guaymas	SONG001829|SONG001829|SONG001829	||	PER000273|PER000225|PER000107	SRC0001|SRC0001|SRC0001
la bruja	3	likely_legitimate_same_title_different_artist	REC002456|REC005988|REC006185	La Bruja|20. La Bruja|La Bruja	SONG001837||SONG004761	|GRP0278|GRP0278	PER000110||	SRC0001|SRC0002|SRC0002
la burrita	3	likely_legitimate_same_title_different_artist	REC002459|REC002460|REC002461	La Burrita|La Burrita|La Burrita	SONG001840|SONG001840|SONG001840	||	PER000273|PER000135|PER000273	SRC0001|SRC0001|SRC0001
la cacahuata	3	likely_legitimate_same_title_different_artist	REC002462|REC002463|REC002464	La Cacahuata|La Cacahuata|La Cacahuata	SONG001841|SONG001841|SONG001841	GRP0081|GRP0162|GRP0081	||	SRC0001|SRC0001|SRC0001
la cucaracha	3	likely_legitimate_same_title_different_artist	REC002527|REC002528|REC005659	La Cucaracha|La Cucaracha|La Cucaracha	SONG001882|SONG001882|SONG001882	||	PER000107|PER000107|	SRC0001|SRC0001|SRC0002
la espiga	3	possible_true_duplicate_same_entity	REC002553|REC002554|REC002555	La Espiga|La Espiga|La Espiga	SONG001902|SONG001902|SONG001902	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
la estampilla	3	possible_true_duplicate_same_entity	REC002556|REC002557|REC002558	La Estampilla|La Estampilla|La Estampilla	SONG001903|SONG001903|SONG001903	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
la huella de mis besos	3	likely_legitimate_same_title_different_artist	REC002594|REC002595|REC002596	La Huella De Mis Besos|La Huella De Mis Besos|La Huella De Mis Besos	SONG001926|SONG001926|SONG001926	|GRP0071|	PER000127||PER000149	SRC0001|SRC0001|SRC0001
la malaguena	3	likely_legitimate_same_title_different_artist	REC002630|REC002631|REC002632	La Malagueña|La Malagueña|La Malagueña	SONG001950|SONG001950|SONG001950	GRP0190|GRP0184|	||PER000052	SRC0001|SRC0001|SRC0001
la malora	3	possible_true_duplicate_same_entity	REC002637|REC002638|REC002639	La Malora|La Malora|La Malora	SONG001955|SONG001955|SONG001955	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
la mancornadora	3	likely_legitimate_same_title_different_artist	REC002642|REC002643|REC002644	La Mancornadora|La Mancornadora|La Mancornadora	SONG001958|SONG001958|SONG001958	GRP0049||	||	SRC0001|SRC0001|SRC0001
la mariquita	3	likely_legitimate_same_title_different_artist	REC002654|REC002655|REC002656	La Mariquita|La Mariquita|La Mariquita	SONG001967|SONG001967|SONG001967	GRP0169||GRP0160	||	SRC0001|SRC0001|SRC0001
la negra noche	3	likely_legitimate_same_title_different_artist	REC002702|REC002703|REC002704	La Negra Noche|La Negra Noche|La Negra Noche	SONG002001|SONG002001|SONG002001	||	PER000225|PER000112|PER000107	SRC0001|SRC0001|SRC0001
la pajarera	3	likely_legitimate_same_title_different_artist	REC002724|REC002725|REC002726	La Pajarera|La Pajarera|La Pajarera	SONG002014|SONG002014|SONG002014	||	PER000107|PER000138|PER000107	SRC0001|SRC0001|SRC0001
la palma	3	likely_legitimate_same_title_different_artist	REC002727|REC002728|REC002729	La Palma|La Palma|La Palma	SONG002015|SONG002015|SONG002015	|GRP0201|	||PER000052	SRC0001|SRC0001|SRC0001
la parranda	3	likely_legitimate_same_title_different_artist	REC002739|REC002740|REC002741	La Parranda|La Parranda|La Parranda	SONG002020|SONG002020|SONG002020	||GRP0019	PER000004|PER000072|	SRC0001|SRC0001|SRC0001
la petenera	3	likely_legitimate_same_title_different_artist	REC002752|REC002753|REC002754	La Petenera|La Petenera|La Petenera	SONG002031|SONG002031|SONG002031	|GRP0140|	PER000266||PER000059	SRC0001|SRC0001|SRC0001
la que se fue	3	possible_true_duplicate_same_entity	REC002778|REC002779|REC002780	La Que Se Fue|La Que Se Fue|La Que Se Fue	SONG002050|SONG002050|SONG002050	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
la raspa	3	likely_legitimate_same_title_different_artist	REC002788|REC002789|REC002790	La Raspa|La Raspa|La Raspa	SONG002057|SONG002057|SONG002057	||GRP0167	||	SRC0001|SRC0001|SRC0001
la suegra	3	likely_legitimate_same_title_different_artist	REC002813|REC005955|REC006150	La Suegra|5. La Suegra|La Suegra	SONG002077||SONG004726	||	PER000176|PER000338|PER000338	SRC0001|SRC0002|SRC0002
la ultima cancion	3	likely_legitimate_same_title_different_artist	REC002834|REC002835|REC002836	La Ultima Cancion|La Ultima Cancion|La Ultima Cancion	SONG002095|SONG002095|SONG002095	||	|PER000149|PER000149	SRC0001|SRC0001|SRC0001
la valentina	3	likely_legitimate_same_title_different_artist	REC002844|REC002845|REC002846	La Valentina|La Valentina|La Valentina	SONG002100|SONG002100|SONG002100	||	PER000107|PER000176|PER000107	SRC0001|SRC0001|SRC0001
la vaquilla	3	likely_legitimate_same_title_different_artist	REC002847|REC002848|REC002849	La Vaquilla|La Vaquilla|La Vaquilla	SONG002101|SONG002101|SONG002101	||	PER000149|PER000149|PER000259	SRC0001|SRC0001|SRC0001
lagrimas del alma	3	possible_true_duplicate_same_entity	REC002878|REC002879|REC002880	Lagrimas Del Alma|Lagrimas Del Alma|Lagrimas Del Alma	SONG002127|SONG002127|SONG002127	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
laguna de pesares	3	possible_true_duplicate_same_entity	REC002882|REC002883|REC002884	Laguna De Pesares|Laguna De Pesares|Laguna De Pesares	SONG002129|SONG002129|SONG002129	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
las golondrinas	3	likely_legitimate_same_title_different_artist	REC002926|REC002927|REC002928	Las Golondrinas|Las Golondrinas|Las Golondrinas	SONG002162|SONG002162|SONG002162	|GRP0147|	||PER000225	SRC0001|SRC0001|SRC0001
las rejas no matan	3	possible_true_duplicate_same_entity	REC002964|REC002965|REC002966	Las Rejas No Matan|Las Rejas No Matan|Las Rejas No Matan	SONG002184|SONG002184|SONG002184	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
limosnero de amor	3	likely_legitimate_same_title_different_artist	REC002999|REC003000|REC003001	Limosnero De Amor|Limosnero De Amor|Limosnero De Amor	SONG002209|SONG002209|SONG002209	GRP0124||	|PER000127|PER000127	SRC0001|SRC0001|SRC0001
llegaste tarde	3	likely_legitimate_same_title_different_artist	REC003018|REC003019|REC003020	Llegaste Tarde|Llegaste Tarde|Llegaste Tarde	SONG002220|SONG002220|SONG002220	|GRP0126|	PER000225||PER000225	SRC0001|SRC0001|SRC0001
los arrieros	3	possible_true_duplicate_same_entity	REC003065|REC003066|REC003067	Los Arrieros|Los Arrieros|Los Arrieros	SONG002260|SONG002260|SONG002260	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
los gavilanes	3	likely_legitimate_same_title_different_artist	REC003101|REC003102|REC003103	Los Gavilanes|Los Gavilanes|Los Gavilanes	SONG002283|SONG002283|SONG002283	||	PER000070|PER000225|PER000225	SRC0001|SRC0001|SRC0001
maldita pobreza	3	likely_legitimate_same_title_different_artist	REC003178|REC003179|REC003180	Maldita Pobreza|Maldita Pobreza|Maldita Pobreza	SONG002340|SONG002340|SONG002340	GRP0067|GRP0067|	||PER000052	SRC0001|SRC0001|SRC0001
maldito abismo	3	likely_legitimate_same_title_different_artist	REC003183|REC003184|REC003185	Maldito Abismo|Maldito Abismo|Maldito Abismo	SONG002343|SONG002343|SONG002343	||	PER000149|PER000225|PER000149	SRC0001|SRC0001|SRC0001
marieta	3	likely_legitimate_same_title_different_artist	REC003236|REC003237|REC003238	Marieta|Marieta|Marieta	SONG002388|SONG002388|SONG002388	||GRP0146	PER000107|PER000107|	SRC0001|SRC0001|SRC0001
maria luisa	3	likely_legitimate_same_title_different_artist	REC003243|REC005802|REC005883	María Luísa|María Luisa|María Luisa	SONG002393|SONG004434|SONG004434	GRP0027||	||PER000335	SRC0001|SRC0003|SRC0003
mexico lindo	3	likely_legitimate_same_title_different_artist	REC003338|REC003339|REC003340	Mexico Lindo|Mexico Lindo|Mexico Lindo	SONG002474|SONG002474|SONG002474	GRP0065||GRP0184	|PER000231|	SRC0001|SRC0001|SRC0001
mi casita de paja	3	likely_legitimate_same_title_different_artist	REC003367|REC003368|REC003369	Mi Casita De Paja|Mi Casita De Paja|Mi Casita De Paja	SONG002495|SONG002495|SONG002495	|GRP0017|GRP0106	||	SRC0001|SRC0001|SRC0001
mi gusto es	3	likely_legitimate_same_title_different_artist	REC003395|REC003396|REC003397	Mi Gusto Es|Mi Gusto Es|Mi Gusto Es	SONG002518|SONG002518|SONG002518	||	PER000056|PER000149|PER000149	SRC0001|SRC0001|SRC0001
mi tenampa	3	possible_true_duplicate_same_entity	REC003446|REC003447|REC003448	Mi Tenampa|Mi Tenampa|Mi Tenampa	SONG002561|SONG002561|SONG002561	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
mi terruno	3	likely_legitimate_same_title_different_artist	REC003449|REC003450|REC003451	Mi Terruño|Mi Terruño|Mi Terruño	SONG002562|SONG002562|SONG002562	|GRP0098|	PER000141||PER000052	SRC0001|SRC0001|SRC0001
modesta ayala	3	likely_legitimate_same_title_different_artist	REC003506|REC003507|REC003508	Modesta Ayala|Modesta Ayala|Modesta Ayala	SONG002606|SONG002606|SONG002606	GRP0019||	|PER000107|PER000107	SRC0001|SRC0001|SRC0001
morir sonando	3	likely_legitimate_same_title_different_artist	REC003524|REC003525|REC003526	Morir Soñando|Morir Soñando|Morir Soñando	SONG002615|SONG002615|SONG002615	||	|PER000225|PER000225	SRC0001|SRC0001|SRC0001
mucho corazon	3	likely_legitimate_same_title_different_artist	REC003533|REC003534|REC003535	Mucho Corazon|Mucho Corazón|Mucho Corazón	SONG002622|SONG002623|SONG002623	||GRP0126	PER000127|PER000219|	SRC0001|SRC0001|SRC0001
mujer	3	likely_legitimate_same_title_different_artist	REC003542|REC003543|REC003544	Mujer|Mujer|Mujer	SONG002629|SONG002629|SONG002629	||	PER000262|PER000009|PER000009	SRC0001|SRC0001|SRC0001
nana pancha	3	likely_legitimate_same_title_different_artist	REC003590|REC003591|REC003592	Nana Pancha|Nana Pancha|Nana Pancha	SONG002672|SONG002672|SONG002672	GRP0126||	|PER000225|PER000154	SRC0001|SRC0001|SRC0001
negra linda	3	likely_legitimate_same_title_different_artist	REC003598|REC003599|REC003600	Negra Linda|Negra Linda|Negra Linda	SONG002678|SONG002678|SONG002678	GRP0190||	|PER000127|PER000127	SRC0001|SRC0001|SRC0001
ni cuerpo ni corazon	3	likely_legitimate_same_title_different_artist	REC003608|REC005944|REC006139	Ni Cuerpo Ni Corazon|14. Ni Cuerpo Ni Corazon|Ni Cuerpo Ni Corazon	SONG002686||SONG004715	|GRP0278|GRP0278	||	SRC0001|SRC0002|SRC0002
ni el dinero ni nada	3	possible_true_duplicate_same_entity	REC003609|REC003610|REC003611	Ni El Dinero Ni Nada|Ni El Dinero Ni Nada|Ni El Dinero Ni Nada	SONG002687|SONG002687|SONG002687	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
no dejes de quererme	3	likely_legitimate_same_title_different_artist	REC003625|REC003626|REC003627	No Dejes De Quererme|No Dejes De Quererme|No Dejes De Quererme	SONG002700|SONG002700|SONG002700	|GRP0126|	PER000156||PER000250	SRC0001|SRC0001|SRC0001
no pidas mas perdon	3	likely_legitimate_same_title_different_artist	REC003678|REC003679|REC003680	No Pidas Más Perdón|No Pidas Más Perdón|No Pidas Más Perdón	SONG002746|SONG002746|SONG002746	||	PER000127|PER000127|PER000210	SRC0001|SRC0001|SRC0001
no puedo mas	3	likely_legitimate_same_title_different_artist	REC003690|REC003691|REC003692	No Puedo Mas|No Puedo Mas|No Puedo Mas	SONG002755|SONG002755|SONG002755	||	PER000225|PER000112|PER000225	SRC0001|SRC0001|SRC0001
nuevamente	3	likely_legitimate_same_title_different_artist	REC003818|REC003819|REC005628	Nuevamente|Nuevamente|Nuevamente	SONG002850|SONG002850|SONG002850	||	PER000127|PER000127|	SRC0001|SRC0001|SRC0002
ofrenda guadalupana	3	possible_true_duplicate_same_entity	REC003833|REC003834|REC003835	Ofrenda Guadalupana|Ofrenda Guadalupana|Ofrenda Guadalupana	SONG002864|SONG002864|SONG002864	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
ojos tapatios	3	likely_legitimate_same_title_different_artist	REC003853|REC003854|REC003855	Ojos Tapatios|Ojos Tapatios|Ojos Tapatios	SONG002880|SONG002880|SONG002880	||	PER000220|PER000107|PER000053	SRC0001|SRC0001|SRC0001
paloma querida	3	possible_true_duplicate_same_entity	REC003946|REC003947|REC003948	Paloma Querida|Paloma Querida|Paloma Querida	SONG002952|SONG002952|SONG002952	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
paso del norte	3	likely_legitimate_same_title_different_artist	REC003982|REC003983|REC003984	Paso Del Norte|Paso Del Norte|Paso Del Norte	SONG002983|SONG002983|SONG002983	GRP0057|GRP0081|	||	SRC0001|SRC0001|SRC0001
pecadora	3	likely_legitimate_same_title_different_artist	REC003998|REC003999|REC004000	Pecadora|Pecadora|Pecadora	SONG002995|SONG002995|SONG002995	GRP0186||	|PER000035|PER000191	SRC0001|SRC0001|SRC0001
peso sobre peso	3	likely_legitimate_same_title_different_artist	REC004053|REC004054|REC004055	Peso Sobre Peso|Peso Sobre Peso|Peso Sobre Peso	SONG003037|SONG003037|SONG003037	||	PER000080|PER000225|PER000225	SRC0001|SRC0001|SRC0001
por que volviste	3	likely_legitimate_same_title_different_artist	REC004144|REC004145|REC004146	Por Que Volviste|Por Que Volviste|Por Que Volviste	SONG003114|SONG003114|SONG003114	||GRP0103	PER000153|PER000225|	SRC0001|SRC0001|SRC0001
por una cara bonita	3	possible_true_duplicate_same_entity	REC004179|REC004180|REC004181	Por Una Cara Bonita|Por Una Cara Bonita|Por Una Cara Bonita	SONG003133|SONG003133|SONG003133	||	PER000127|PER000127|PER000127	SRC0001|SRC0001|SRC0001
prohibido	3	possible_true_duplicate_same_entity	REC004232|REC004233|REC004234	Prohibido|Prohibido|Prohibido	SONG003175|SONG003175|SONG003175	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
puro amor	3	likely_legitimate_same_title_different_artist	REC004257|REC004258|REC004259	Puro Amor|Puro Amor|Puro Amor	SONG003195|SONG003195|SONG003195	||	PER000225||PER000225	SRC0001|SRC0001|SRC0001
que bonito amor	3	possible_true_duplicate_same_entity	REC004274|REC004275|REC004276	Que Bonito Amor|Que Bonito Amor|Que Bonito Amor	SONG003201|SONG003201|SONG003201	||	PER000149|PER000149|PER000149	SRC0001|SRC0001|SRC0001
que me importa	3	likely_legitimate_same_title_different_artist	REC004320|REC004321|REC004322	Que Me Importa|Que Me Importa|Que Me Importa	SONG003239|SONG003239|SONG003239	||GRP0126	PER000094|PER000172|	SRC0001|SRC0001|SRC0001
que milagro chaparrita	3	likely_legitimate_same_title_different_artist	REC004329|REC004330|REC004331	Que Milagro Chaparrita|Que Milagro Chaparrita|Que Milagro Chaparrita	SONG003243|SONG003243|SONG003243	||	|PER000107|PER000107	SRC0001|SRC0001|SRC0001
que murmuren	3	likely_legitimate_same_title_different_artist	REC004334|REC004335|REC004336	Que Murmuren|Que Murmuren|Que Murmuren	SONG003246|SONG003246|SONG003246	||	PER000225|PER000225|PER000250	SRC0001|SRC0001|SRC0001
que tanto es tantito	3	possible_true_duplicate_same_entity	REC004373|REC004374|REC004375	Que Tanto Es Tantito|Que Tanto Es Tantito|Que Tanto Es Tantito	SONG003276|SONG003276|SONG003276	||	PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001
